id,type,text1,text2,text3,notes
sex_perigee,SHIP,"The Perigee-class vessel is an effective mix of advanced scientific and military technologies, perfect for long-range exploration of hostile space. The ship features relatively accommodating weapon mounts, advanced weapons systems and a great logistical profile. Although flexible, the Perigee usually struggles with dedicated combat vessels of similar size, relegating the ship to mostly support roles.

The ship features a large sensor dome at the front end of the ship which is useful in survey operations and combat encounters alike. Perigee captains are used to operating in small fleets and tend to be an independent, self-reliant lot. The ship can hold its own in one-on-one engagements by smart use of its powerful shield emitter and strong engines. However, its armor rating makes it seem somewhat fragile on paper, and thus it is rarely part of big fleet actions. The high construction costs of the hull typically mean that only affluent tech mining consortiums can afford an Perigee-class vessel that is fully outfitted for an aggressive exploratory role.",,,
sex_stronghold,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The Stronghold drone is one of the heaviest drones deployed in drone units. Lacking most regular armament the Stronghold instead includes many missile-type weapon mounts to provide unmatched firepower in the few drone units which were expected to face the heaviest of resistance. Not being much more than a support platform meant that the Stronghold drones were anticipated to regularly be disabled in combat, so the heavy drone was designed with highly modular components which allowed badly damaged hulls to be rapidly cannibalized to repair lightly damaged hulls up to combat capacity without the need for shipyard facilities. The Stronghold is rarely seen among drone units due to the simple fact that they were deployed much sparsely compared to other drones.",,,
sex_spicagiga,WEAPON,A torpedo launcher designed to fire Giga-class torpedoes in two-round bursts. Makes up for its limited damage potentional with unmatched strike damage.,,,
sex_mephisto,WEAPON,A short-range defensive weapon system that fires at an astonishing rate of over a thousand rounds per minute. The rounds from the Mephisto are only effective against projectiles and fighter craft as any ship-grade armor can easily deflect the rounds,,,
sex_starliner_original,SHIP,"A passenger liner from a more civilized age, the Mbaye-Gogol 440 ""Starliner"" was built to travel between the systems of the Domain in speed and comfort. The Starliner features private first-class cabins, two classes of food service, a zero-G theatre, and even a small landing/launch bay for exclusive use by executive-class passengers. (Being a civilian ship there are, of course, no facilities for fighter repair and rearmament)'.

The Starliner is equipped with a forward shield to ensure passenger safety and protect the hull from routine abrasion. Unlike the common refit seen in the Sector today, this ancient relic has few weapon mounts and an even more fragile base hull. The stronger, pristine armor plating of the ship does very little to help protect its fragile hull.",,,
sex_mora_original,SHIP,"An unmodified original civilian model before the Mora-class hulls were refitted into carriers, demilitarized variants of the Mora-class are still used by salvage crews and prospectors alike. This class of ship was commissioned during the same period of carrier-centric Domain naval doctrine as the ubiquitous Talon fighter. Armoured to withstand the fury of battle alongside the Onslaught, the Mora was nonetheless decommissioned en masse as doctrine shifted to favour heavier guns and capital ships flanked by line-cruisers. Demilitarized hulls were sold and converted into mobile industrial platforms for use on the frontiers of the Domain. While lacking the formidable weaponry and advanced combat systems of its militarized counterpart, this variant of the Mora-class remains a versatile and reliable vessel sought after by salvage crews and resource prospectors operating in the far reaches of space.

The rugged and eminently adaptable Mora is a common sight in long-range surveying, mining, construction, drone handling, and use as mobile drydocks. Some hulls were even half-buried on alien worlds and used as armoured power-stations and workshops to form the core of new settlements. After the Collapse, many Mora hulls were re-militarized almost suspiciously rapidly by factions that did not possess dedicated fleet carriers although the demilitarized hulls are still used as auxiliaries in the Sector to this day.",,,
sex_hainuwele,SHIP,"Perhaps the magnum opus design of the Orion Shipyards, the Hainuwele-class is able to project vast amounts of firepower through its numerous fighter craft squadrons. When not protected by its fighter wings it never travels alone but instead is at the head of space-borne carrier fleets. These task forces are a rarity, as the power they hold is usually required to subjugate entire planets or blockade enormous areas of space.

The Hainuwele series of hulls were designed by the Orion Shipyards, the corporation behind such designs as the Conquest-class series of ships as well as many former traditional Armada ships. Space Naval tacticians of the day were confident that the mobility required for advanced tactics would always outperform armor and shields and thus were the key to winning an engagement. The result was a formidable battlecarrier, much faster than many capital ships even today, though lacking the heavy armor plating that most capital ships of the time came equipped with.",,,
sex_drover_original,SHIP,"While most ship-captains are familiar with the modern Drover design of ship - and its troubled development - many captains aren't aware of the earlier designs. The first generation of Drover series of hulls were deployed very briefly in backwater worlds to bolster carrier capacity before they were recalled to be decommissioned as elements in the navy who followed the old Capital-school sent the Drover design back to committee, citing insufficient firepower for the ship weight class to meet standard guidelines. While most of these ships were indeed decommissioned and scrapped, it would seem that not all of them were, as this hull is a prime example of the first generation design of the Drover hull. While the ship was - and is still is - arguably out-of-date even in current Sector standards, its pre-Collapse origin means that the technology within the hull is highly sought-after and is likely to fetch a great price if sold.",,,
sex_embattlement,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The Embattlement drone is a pure support platform and not much else. Lacking most regular armament the Embattlement instead is equipped with a single, large missile-type weapon mount to provide effective firepower support in drone units which were expected to face a fair bit of resistance. Two heavy plates of ablative armor mounted at the front of the unit allow the drone to take a fair bit of punishment when faced head-on, though the ship's poor mobility leave it vulnerable to flanking.",,,
sex_melpomene,SHIP,"The Melpomene is a rare, experimental hull developed by the Tri-Tachyon corporation. The ship is infamous for its hull-integrated prototype ""Temporal Shell"" system and the it's so-called ability to violate the laws of physics. Only a limited run of prototypes has been produced.

Gross causality violating technology was banned by the Domain, and this ban is now upheld by Hegemony doctrine - with Luddic support. Nonetheless, the Tri-Tachyon Corporation funded further research into the field of 'time manipulation' through black projects and clandestine research programs hidden from Domain authorities. The Melpomene's uniquely hull-integrated prototype ""Temporal Shell"" system, first tested with the Scarab series of hulls, was quickly scaled up and supposedly deployed into two bigger cruiser-sized hulls. While the other, more developed prototype is lost to history after the collapse, the Melpomene-class series of hulls remain in service, and are considered one of the most advanced designs currently available in the Sector.",,,
sex_furtive,SHIP,"The Furtive is complete overhaul of the Eagle-class series of combat cruisers. Decommisioned hulls are demilitarized and many systems are removed to make space for additional cargo bays. The conversion process is an involved and complex affair that requires a vast amount of work on the part of a skilled shipwright. The result is a freighter with impressive agility for it's size, but little in terms of offensive capabilities.

The originator of the desing is said to be the owner of an independent salvage firm who was frustrated by the limitations of their existing ships. Many of the freighter designs commonly found throughout the Sector are quite utilitarian in nature. Big, bulky, and slow, they have a tendency to get stuck in bad places. In particular, their low top speed means that they are exceptionally vulnerable when being pursued. As such, the Furtive is a highly maneuverable ship designed specifically to elude pursuit. It is fast enough to escape most pursuers, but also big enough to hold considerable quantities of cargo.",,,
sex_spectre,SHIP,"A stealth tug which audaciously employs phase technology to support covert fleet operations, the Spectre is not cheap or efficient. Raised up from a dusty set of databanks hidden in an unnamed rock orbiting a nondescript star for a hundred cycles after the First AI War, the Spectre schematics provided an immense boon to the logistics of Tri-Tachyon raiders during the Second AI War. These fleets were infamously named 'sensor ghosts' as their extensive use of phase technology made them almost invisible to most fleet sensors.

""We were a few days out from port, and this whole fleet of the Tachie sensor ghosts, just appeared out of nowhere.... Just went past us in six hours like it was nothing. Not even our escort frigates could burn that fast."" - Commander Kane Gleise, recovered logs from ISS Black Star",,,
sex_proxy_cannon,WEAPON,"An ejector cannon integrated into the ship, designed to launch proximity mines at high velocities. Integrated ordnance assembly facilities on-board the hulls it is mounted in feed the magazines with a constant supply of ammunition for extended deployments.",,,
sex_starliner_mk2,SHIP,"This is a Starliner hull modified by the militant faithful of the Luddic Path into a fearsome battle cruiser. The passenger decks are collapsed and re-welded to greatly thicken the effective armour of the hull and the ship's former flare launchers have been bastardized into launching canisters of fused flak. Several platforms, ripped from other ships, have been attached to the hull to provide more space for mounting weapons aimed at those who serve Moloch that they may perhaps find absolution in blessed oblivion.

The base Starliner hull, with its many passenger decks, offered vast amounts of space for the militant engineers of the Luddic Path and their approach to ship design can be seen in its full glory with this modification. The forward-facing shield generator has been entirely removed, and in its place, a damper field generator has been added to keep the structure stable when under fire. The old thrusters of the ship, used mostly for maneuvering purposes, have been completely replaced with a capital-grade engine that has been haphazardly modified to operate well beyond its intended range of operation.",,,
sex_nephilim,SHIP,"A support-oriented high-tech carrier, the Nephilim is the result of the line of thought that 'sometimes the best defense is indeed the best defense'. Significant hull space is dedicated to the ship's 'fortress shield' system which allows the Nephilim to effectively stand against ships of higher tonnage. What the ship lacks in raw firepower it makes up for with its survivability and flexibility.",,,
sex_mule2,SHIP,"This is a Mule hull modified by the militant faithful of the Luddic Path into a fearsome combat destroyer. The cargo decks are collapsed and re-welded to thicken the effective armour of the hull while additional turrets have been planted along the hull. A single large weapon mount has been crudely mounted at the front, aimed at those who serve Moloch that they may perhaps find absolution in blessed oblivion.

The Mule-class is a tough nut to crack, which makes its designation as a combat freighter apt. Pirates will often bypass even a lone Mule and go off in search of easier prey.",,,
sex_myriad,SHIP,"The Myriad, a relic from the explosive expansion of the Domain, represents a bygone era of unrelenting dominance. As an imposing behemoth, it stood as the ultimate symbol of power, instilling fear and asserting authority over all spacefaring civilizations deemed worthy of conquest. However, the relentless march of military progress rendered its hull obsolete. Its armor design proved incompatible with early shield generators, its crew requirements were staggering, and its targeting systems lacked sophistication. Consequently, the great Domain forges swiftly replaced it with modernized alternatives, such as the Legion-class.

Ages passed, until the Knights of Ludd chanced upon an untainted museum archive on a desolate world. Faced with a moral quandary, a council of inquisitors fiercely debated the line dividing sin from virtue, and the corrupting influence of technology versus righteous craftsmanship. Against the odds, a senior knight-inquisitor with an unusually open mind meticulously studied the archive's contents and successfully convinced the council to indefinitely postpone the order of destruction.

Thus, the vessel was christened the ""Myriad,"" paying homage to the countless fighter decks housed within this war cathedral. No conventional navy would dare deploy such a monstrous ship, but the Church and its Knights could rely on an abundance of devoted volunteer-militants to man the vast array of fighters and rudimentary targeting stations. It stands as a testament to the innumerable faithful who will answer the call to defend their cause.",,,
sex_auxiliary_drones,SHIP_SYSTEM,Fabricates and deploys several defensive drones armed with mining lasers. The drones orbit the ship in a holding pattern.,Special,,
sex_brizo,SHIP,"The Brizo is a remarkable vessel, a hospital ship designed to provide essential medical aid and care for the injured. Trauma teams aboard this specialized vessel work tirelessly to treat and stabilize wounded crew members, ensuring their swift recovery and minimizing the loss of valuable personnel during combat engagements and operational disasters.

With the ever-escalating costs of ship maintenance and the demands of warfare, most authorities find it difficult to justify the financial burden of sustaining a hospital ship. Only the faithful volunteers of the Luddic Church, and the dutiful captains of the Hegemony, operate hospital ships in these troubled times. Its presence symbolizes a rare dedication to humanity in the face of war, transcending political boundaries and affiliations. A reminder that even in the darkest of times, humanity's capacity for empathy endures.",,,
sex_rescue,SHIP,Nimble and delicate auxiliary vessel designed to assist in search and rescue operations. Equipped with minimal armaments to contain disasters and cut up bulkheads during extended operations.,,,
sex_hammerhead2,SHIP,"This variant of the renowned Hammerhead hull has undergone significant modifications at the skilled hands of the faithful engineers of the Luddic Path. The most striking alteration to the Hammerhead Mk.II is complete removal of modern shield systems in favor of an Orion Drive affixed to the ship's stern. This radical propulsion system typically reserved for light warships grants the Hammerhead Mk.II unparalleled speed and agility on the battlefield. The ship's newfound ability to quickly reposition itself has proven instrumental in both evading enemy fire and launching swift, devastating attacks.

What sets this particular refit apart is the suspiciously well-made execution of these modifications. The faithful of the Luddic Path, known for their staunch opposition to advanced technology, have typically shown limited expertise in harnessing the full potential of such systems. It leaves observers wondering how a faction so deeply rooted in religious tradition and disdain for high-tech advancements could produce such a refined vessel. It sparks speculation about secret alliances, hidden support from other factions, or even clandestine deals made in the shadows of the sector.",,,
sex_eradicator2,SHIP,"The Eradicator Mk.II is an extraordinary marvel of Luddic Path engineering. Modern shielding systems have been completely ripped out in favor of an archaic damper field, and the now-empty hull space is filled with additional weapon mountings as well as shoddily-integrated flux conduits. These ill-advised modifications would in any other context be considered insane, but it is these very modifications that give the Eradicator Mk.II the sheer firepower to stand up against more conventional ships. The ceremonial symbols etched upon the ship's hull serve as a constant reminder of its faithful purpose.

The additional weapon mounts inadequately integrated into the hull amplify its destructive potential, enabling the Eradicator Mk.II to unleash devastating salvos upon those who serve Moloch that they may perhaps find absolution in blessed oblivion.",,,
sex_condor2,SHIP,"A product of radical modifications made to the original Condor hull, this formidable battlecarrier strikes fear into the hearts of its enemies with its distinctive blend of raw power and reckless ingenuity. Weapon mounts have been haphazardly integrated into the hull and the ship's fighter assembly systems have been recklessly overclocked and pushed beyond their designed limits to churn out a relentless swarm of fighters at an incredible speed. These additions lend the ship a rough, patchwork appearance, but don't let its unconventional aesthetics fool you, for within its chaotic exterior lies a deadly arsenal that can rain destruction upon those who serve Moloch that they may perhaps find absolution in blessed oblivion.",,,
sex_flamer,WEAPON,"""No, that's the cylinder head port. They somehow connected the AM fuel intake to... This 3rd-gen KL exhaust. I didn't even consider that someone would be insane enough to weaponize this stuff.""",- Memo recovered from an independent shipyard,,
sex_rc_orion_device,SHIP_SYSTEM,"Deploys a shaped antimatter charge behind the ship. The explosion applies force to a massive push-plate, which absorbs the shock and spreads the resulting acceleration over a timeframe where it can be handled by the ship's inertial compensators. The ship is briefly propelled forward at a rate very few more ""advanced"" technologies can hope to match.",Movement,,
sex_enforcer2,SHIP,"The Enforcer Mk. II represents a radical re-engineering of the renowned Enforcer hull at the skilled hands of the faithful engineers of the Luddic Path. An array of hardpoints adorns its resculpted bow, heralding a menacing presence on the battlefield. Misaligned plates of armor grace the ship's exterior. As impressive as the Enforcer Mk. II may be, it bears the unmistakable marks of its haphazard modifications. The design is a precarious balance between enhanced performance and the ever-present risk of catastrophic failure.",,,
sex_matron,SHIP,"The Matron is a marvel of technological ingenuity designed to push the boundaries of drone warfare. An array of autonomous drones equipped orbit the ship in a tight holding pattern, using barely legal delta-level AI subsystems to maintain a perfect defensive perimeter around the ship.  In the event that a drone gets destroyed, the formation immediately shifts to maintain optimal defensive coverage. The drones operate as an extension of the ship's formidable arsenal, providing a constant screen of firepower.

The Matron-class walks the fine line between permissible innovation and forbidden advancement, embodying the spirit of audacity and ambition that drives Tri-Tachyon's quest for technological supremacy.",,,
sex_tactical_drones,SHIP_SYSTEM,Fabricates and deploys several defensive drones armed with IR pulse lasers. The drones orbit the ship in a holding pattern.,Special,,
sex_hammerhead_tritachyon,SHIP,"A midline destroyer from the golden age of the Domain, the Tri-Tachyon refit of the Hammerhead is respected for its staying power in battle as well as its procurement cost compared to other ships of similar size and tech level.",,,
sex_co,FACTION,"The Stinger Explosives Corporation is a loose-knit and often violent organization of miners, salvage specialists and ex-mercenary gunsels. The collapse of the Gate network left a vacuum in the market for processed metals used in the construction of everything from starships to orbital installments. The corporation was quick to claim the Junk Belt, a region of the Marmara system filled with derelict starships, the remains of orbital factories, and the wrecks of ancient spacecraft. The corporation was able to operate there relatively unmolested by bigger, wealthier entities thanks to the various wars and skirmishes that broke out after the collapse. Hostile takeovers were carried out with explosives and jury-rigged mining vessels, and rival operations were destroyed with underhanded sabotage and ambushes in hyperspace.

The end of the Second AI War saw the arrival of an official peacekeeping force from the Hegemony. The company was quick to switch gears and establish itself as a legitimate salvage and mining firm, but the criminal past of many of its members and its remote location mean the company is looked at with suspicion by its competitors. The sale of illegal munitions, narcotics, and weapons is rumored to still be a significant source of income for the corporation, although the company maintains that it is now fully aboveboard.

The backing of the Hegemony legitimized the company's claim to its territory, making it very difficult to oust the firm by force without sparking a war. The various treaties and agreements between the Tri-Tachyon Corporation and the Hegemony government have kept the corporation safe and allowed it to expand its territory and its influence.",,,
sex_wreckwangler,CUSTOM,"A colossal station built around a sprawling belt of derelict starship wrecks discarded after the Collapse. The Stinger Explosives Corporation operates a shipbreaking operation and salvage yard here. Most hulls are broken down and sold as scrap metal, but there is also a thriving black market for more intact vessels.",Wreckwrangler Outpost,"The station orbits the local debris field known as the Junk Belt. An array of holoprojectors displays advertisements for the Stinger Explosives Corporation, the local administration overseeing the shipbreaking industry. You can see tugs and other ships at work here and there, pulling wrecks and parts from the Belt, as well as smaller vessels in and out of the repair docks. The occasional security patrol vessel glides by in the distance.",
sex_ironforge,CUSTOM,"The Ironforge Command station is a former naval logistics base which, after the Collapse, was repurposed into a millitary base to oversee local operations. The local shipbreaking operation was deemed too valuable to be abondoned and instead was subcontracted to a third party, the Stinger Explosives Corporation, who purchased the rights to station administration under their corporate charter. The cost of millitary presence at such a remote site is more than offset by the value of the usable raw materials stripped from the Junk Belt.",Ironforge Command,"An orbital battlestation dominates the scene. The local Hegemony forces operate a millitary base here to provide security to the local shipbreaking operation. The planet is hellishly hot, and its surface is largely volcanic. Pillars of smoke rise from the volcanic, rock-swept terrain below.",
sex_bursa,CUSTOM,"An unusally large gas giant with a very strong magnetic field. The planet's interior is liquid with a rocky core. It's surface is composed of liquid methane and hydrogen, and has no solid surface. Three moons orbit the planet in an intricate dance.",,,
sex_orhangazi,CUSTOM,"This barren planet was once a minor colony world owned by an independent polity, until it was destroyed sometime after the Collapse. It is not known what exactly took place on this planet, but the damage to the surface and surrounding space is so total as to sugges that a large-scale, long-term battle took place.",,,
sex_karacabey,CUSTOM,"A barren, rocky planet rich in minerals and one of the three moons of Bursa. A lack of atmosphere, an unusually active molten core, and no natural sources of water mean that Karacabey is inhospitable to organic life. The resources in the planet's crust were deemed to be not worth the cost of establishing a permanent base on the surface and, with the Junk Belt's bounty of scrap, Karacabey was eventually left unattended.",,,
sex_yalova,CUSTOM,"This volcanic, harsh planet orbits the local sun at an unusually small distance. The result is a nightmarishly hot surface. Underground oceans of molten rock bubble and spew lava through volcanoes to form vast deserts of hard basalt.",,,
sex_ankara,CUSTOM,"A dense, dusty atmosphere shrouded by three moons casts a veil of darkness over the surface of this sandy planet. The mining operation set up by the Stinger Explosives Corporation has left scars on the landscape. Pillars of smoke and flame rise into the night sky as refineries process valuable resources from the surrounding quarries.",,The occasional explosion from the planet below sends sand and dust into the lower atmosphere. Miners continue their tireless work of excavating the ground and hauling containers filled with ore. The occasional security patrol sweeps the area to guard the refinery and the miners against intruders and pirates.,
sex_mescidiye,CUSTOM,"Widespead ruins cover the surface of the cold grasslands of this planet.  Mescidiye was devastated by a pirate raid not long after the collapse but a population of survivors, bandits, and looters still remains on the fringes of society. A thick layer of smog, caused by industrial pollution long since forgotten, hangs in the atmosphere. Very little sunlight can go past the cloudy blanket. What is able to seep through creates an odd, eerie, white glow that surrounds the planet.",,,
sex_akdere,CUSTOM,"Puffy clouds cast pleasant shadows on the vast oceans of this planet. A handful of artifical platforms are scattered on the surface of the water, forming an arcipelago of sorts. The warm weather, the fresh air and the calming waves make this planet seem like a paradise. Engineered plants from the pre-Collapse era thrive and are cultivated to produce various fruits and vegetables.",Akdere Outpost,"The vast waters of this planet are dotted with innumerable platforms floating on the surface. The gentle sound of crashing waves are only interrupted by the occasional shuttle flying above them, ferrying people from platform to platform. The air is fresh and invigorating. The sun sinks into a sea of clouds in the distance, reflecting a beautiful orange hue onto the waters.",
sex_plevne,CUSTOM,"The dense atmosphere of this cryovolcanic planet is rich with ammonia. Swirling, violent storms batter the surface and churn the atmosphere. The occasional calmer region provides a temporary respite for the storms to coalesce and spawn lightning strikes.",,,
sex_magreb,CUSTOM,"The remains of the explorarium sporeship have been repurposed into a makeshift dock for shuttles and transports. Shady types in matching armor linger along the edge of the plaza, looking over the shoulders of busy vendors as they hawk their wares to travelers. The Ashbirds, the local cartel controlling the docks, don't appear too concerned about law enforcement.",Magreb Raider Base,"The remains of the explorarium sporeship have been repurposed into a makeshift dock for shuttles and transports. Shady types in matching armor linger along the edge of the plaza, looking over the shoulders of busy vendors as they hawk their wares to travelers. The Ashbirds, the local cartel controlling the docks, don't appear too concerned about law enforcement.",
sex_adana,CUSTOM,The nightmarish landscape of this volcanic planet is dotted with ruins of habitat domes and derelict shuttles. Geysers of volatile gas vent from cracks in the crust. Rivers of molten rock flow through the rocky valleys. The thick atmosphere is choked with clouds of ash.,,,
sex_kayseri,CUSTOM,"A superheavy gas giant primarily composed of hydrogen and helium gases. The two moons of this planet block most of the natural light from the orange star it orbits. What little heat the star's rays do reach the surface is retained by the planet's metallic clouds, making for an exceptionally dark atmosphere.",,,
sex_develi,CUSTOM,A barren planetoid and one of the two moons of the gas giant Kayseri. This planet used to be home to a minor base of operation for the local gas mining operations before it was abandoned after the Collapse.,,,
sex_talas,CUSTOM,"A barren planetoid and one of the two moons of the gas giant Kayseri. This planet, unlike its sister, is quite insignificant. It has no ore deposits, no valuable minerals and generally nothing worth exploiting.",,,
sex_sivas,CUSTOM,"A ring of ice asteroids orbit this ice giant. A metallic core, formed out of hydrogen and helium, sits at the centre of a dense layer of methane and various ammonia compounds. The thick layer of atmosphere surrounding this planet regularly undergoes a hailstorm of liquid helium.",,,
sex_konya,CUSTOM,Cold winds blow through the icy mountains of this planet. Years of skirmishes against pirate raiders have left its landscape littered with the debris of lost battles. Industrial smog blankets the sky and casts a pall of gray over everything.,,,
sex_mule_sex,SHIP,"A radical re-engineering of the humble Mule-class hull that forgoes most modern conveniences and amenities to provide a sturdy, reliable, and heavily armored platform with a large missile payload. The corporation's focus on reliability over performance means the ship does not have the latest electronics or sensor systems but it is cheap, easy to maintain and has an enviable service life.

The Stinger Explosives Corporation fields a variety of civilian hulls that have been re-engineered under the company's 'bulwark doctrine' of ship design. This doctrine was born out of a distrust of modern military technology, particularly the prevalence of Tri-Tachyon's monopoly on more or less all modern military hardware. SEx Co. has focused instead on the development of cheap, reliable and robust ships.",,,
sex_hound_sex,SHIP,"The ever reliable Hound was quickly adopted by the corporation as a combat freighter and modified extensively with extra missile hardpoints. The result is a highly mobile and surprisingly capable frigate, albeit one that does not quite match the power of the proper military frigates in any metric.

The Stinger Explosives Corporation fields a variety of civilian hulls that have been re-engineered under the company's 'bulwark doctrine' of ship design. This doctrine was born out of a distrust of modern military technology, particularly the prevalence of Tri-Tachyon's monopoly on more or less all modern military hardware. SEx Co. has focused instead on the development of cheap, reliable and robust ships.",,,
sex_tartarus_sex,SHIP,"The ancient Tartarus-class has been in use across the sector for many cycles, even in its original configuration, and the design was quickly seized upon by the corporation as an excellent candidate for conversion into a mining ship. The resulting hybrid is a slow, superheavy frigate that can shrug off enormous amounts of damage.

The Stinger Explosives Corporation fields a variety of civilian hulls that have been re-engineered under the company's 'bulwark doctrine' of ship design. This doctrine was born out of a distrust of modern military technology, particularly the prevalence of Tri-Tachyon's monopoly on more or less all modern military hardware. SEx Co. has focused instead on the development of cheap, reliable and robust ships.",,,
